Record #,Record Type,Title,Type of Improvement,Date Issued,Type of Property,Full Address,Estimated Project Value,Contractor Used,Project Description
HVAC-25-294,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/19/2025 17:03,Residential,"1105 PENNY ST SE, NORTH CANTON, OH 44720",15855,Heartland Home Services dba Blind and Sons LLC,AC + Furnace Replacement Job 1177866
ELCT-25-160,Electrical Permit,Residential Electrical Permit,"Outlets, Switches, and/or Lights",9/19/2025 16:43,Residential,"256 HUME ST NE, NORTH CANTON, OH 44720",385,Connected Electrical,"120v, 20a circuit and receptacle for a sump pump. "
ELCT-25-161,Electrical Permit,Residential Electrical Permit,New Service/Change,9/19/2025 19:43,Residential,"129 5TH ST NE, NORTH CANTON, OH 44720",3060,Heartland Home Service dba Blind and Sons LLC, Replace meter box and frayed and cracked wire up to point of attachment and put wire in pipe. 100AMP.second floor outlets with duplex’s and gfci protecting they at the breaker. 
HVAC-25-292,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,New Construction/Addition,9/22/2025 16:29,Residential,"1323 SHILOH RUN SE, CANTON, OH 44709",17000,"Crown Heating & Cooling, Inc",HVAC  NEW CONSTRUCTION
ROOF-25-177,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/18/2025 16:03,Residential,"719 FURBEE AVE SW, NORTH CANTON, OH 44720",7270,Country Roofing & Exteriors LLC,Re-roof
ROOF-25-178,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/18/2025 16:09,Residential,"813 FURBEE AVE SW, NORTH CANTON, OH 44720",10360,Country Roofing & Exteriors LLC,Re-roof
PLMB-25-179,Plumbing Permit,Residential Plumbing Permit,Natural Gas Line,9/18/2025 15:13,Residential,"340 SUNNYFIELD DR NE, NORTH CANTON, OH 44720",0,"Beck Electric Company, LLC",Connect gas to generator
ELCT-25-159,Electrical Permit,Residential Electrical Permit,Alteration/Remodel,9/18/2025 19:40,Residential,"236 EASTBURY AVE NE, NORTH CANTON, OH 44720",2800,"Gragg Electrical Services, LLC","-Adding 2-20Amp circuits off of  GFI breakers from main panel, piped in 3/4"" PVC out to a 4x4 wooding post cemented into the ground with 2 bell boxes, a twist lock 20A Rececptacle and a GFI.- Updating Grounding for pool with #8 Bare CU around the pool connected in at 4 points into the pool pump, gas heater and skim plate."
HVAC-25-291,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/18/2025 13:54,Residential,"1132 OVERRIDGE AVE SE, NORTH CANTON, OH 44720",2676,Elsass Heating and Cooling Inc,Replace Furnace
ELCT-25-158,Electrical Permit,Residential Electrical Permit,New Construction/Addition,9/18/2025 13:03,Residential,"1323 SHILOH RUN SE, CANTON, OH 44709",20000,Karhan Electric llc ,New construction electrical and temporary service
HVAC-25-290,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Alteration/Remodel,9/17/2025 19:36,Residential,"1816 SWANHURST CIR NE, NORTH CANTON, OH 44720",18993,Snyder's Service Now,REPLACE FURN AND AC
WNDW-25-73,Window Permit,Residential Window Permit,Replacement (Exact),9/18/2025 6:28,Residential,"860 TERRACE RD NW, NORTH CANTON, OH 44720",10630,,3 windows and 2 doors
RBLD-25-143,Residential Building Permit,Residential Building Permit,Alteration/Remodel,9/22/2025 16:45,Residential,"256 CORDELIA ST SW, NORTH CANTON, OH 44720",110000,Lemmon Homes Inc.,"Tree had fallen thru this particular property. We will be putting the house back together the way it was before tree falling on it. Below is the general scope of work-Reframe garage walls -Install new trusses on main house, porch, and garage. Install new sheathing and shingles.-Install new garage door 16'x7'-Reinsulate the entire attic area with blow in insulation (R49)- Install new drywall in living room/kitchen ceiling and garage walls and ceiling.- Run new electric to areas that where ruined by tree damage (living room, kitchen, and garage)-Paint-New flooring throughout (vinyl plank main living area and carpet in all bedrooms)"
RBLD-25-142,Residential Building Permit,Residential Building Permit,Addition,9/18/2025 12:03,Residential,"303 WOODSIDE AVE NE, NORTH CANTON, OH 44720",16763,Limitless Electric LLC,Roof Mounted Solar Panels installationSYSTEM SIZE: 2.59 KWp07 X APTOS SOLAR DNA-120-BF26-370W04 X APSYSTEMS DS3-L 
ROOF-25-176,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/17/2025 17:30,Residential,"118 EASTBURY AVE NE, NORTH CANTON, OH 44720",45000,Smolyanov Home Improvement,Tearing off and replacing existing rof coverings.
ELCT-25-155,Electrical Permit,Residential Electrical Permit,Generator,9/17/2025 17:59,Residential,"340 SUNNYFIELD DR NE, NORTH CANTON, OH 44720",11000,"Beck Electric Company,LLC",Install whole home generator
LTRL-25-60,Water or Sewer Lateral Permit,Residential Plumbing Permit,Water Lateral Repair/Replace,9/17/2025 17:13,Residential,"1534 CAMBRIDGE AVE SW, NORTH CANTON, OH 44709",3750,Buckeye Plumbing,City water line repair to 10ft Includes: 10ft underground K-Copper water service piping Connection fitting package Main full port shut off ball valve Excavation and rough grade back fill (original spoils) 
ELCT-25-154,Electrical Permit,Commercial Electrical Permit,"Outlets, Switches, and/or Lights",9/17/2025 12:48,Commercial/Industrial,"1100 S MAIN ST, Unit 1108, NORTH CANTON, OH 44720",2000,"O.D. Miller Electric Co., Inc.",(2) 3 phase 40 amp GFI protected electric fryer circuits; (1) 120 volt horn strobe; Install controls so that hood is up to code
ROOF-25-175,Roof Permit,Commercial Roof Permit,New/ Re-Roof,9/17/2025 17:20,Commercial/Industrial,"1558 N MAIN ST, NORTH CANTON, OH 44720",51000,"Willham Roofing Co., Inc.",new EPDM roof over existing 
PLMB-25-177,Plumbing Permit,Commercial Plumbing Permit,Water Heater,9/16/2025 19:30,Commercial/Industrial,"1113 N MAIN ST, Unit 160, NORTH CANTON, OH 44720",750,"Forquer Heating and A/C, Inc.",Install Customer Provided 40Gal Hot Water Tank 
HVAC-25-289,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Alteration/Remodel,9/16/2025 18:51,Residential,"311 CASTLETON RD NE, NORTH CANTON, OH 44720",950,GMC Heating & Cooling Inc.,
RBLD-25-140,Residential Building Permit,Residential Building Permit,Repair,9/16/2025 19:55,Residential,"311 CASTLETON RD NE, NORTH CANTON, OH 44720",6900,Eco-Seal Home Solutions,"Digging up approx. 48' of foundation, waterproofing exposed walls, backfilling with gravel"
PLMB-25-176,Plumbing Permit,Residential Plumbing Permit,Alteration/Remodel,9/16/2025 17:38,Residential,"2061 KINGSCOTE CIR NE, NORTH CANTON, OH 44720",2000,Doug Mullaly plumbing,Waterline rough in tub
HVAC-25-288,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/16/2025 17:06,Residential,"1238 WILLOW CREEK ST NE, NORTH CANTON, OH 44720",15000,Echols Heating,
ELCT-25-152,Electrical Permit,Commercial Electrical Permit,"Outlets, Switches, and/or Lights",9/16/2025 15:00,Commercial/Industrial,"1101 W MAPLE ST, NORTH CANTON, OH 44720",1000,"O.D. Miller Electric Co., Inc.",Add (1) circuit to fire alarm
HVAC-25-286,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/15/2025 18:53,Residential,"704 GLENDALE ST SW, NORTH CANTON, OH 44720",12679,SITTLER ENTERPRISES,
HVAC-25-285,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/15/2025 18:49,Residential,"145 WOODSIDE AVE SE, NORTH CANTON, OH 44720",11492,SITTLER ENTERPRISES,
ROOF-25-174,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/15/2025 18:36,Residential,"1263 LOS ANGELES BLVD, NORTH CANTON, OH 44720",11123,Royalty Roofs,complete tear off and reroof of home
HVAC-25-284,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/16/2025 12:51,Residential,"983 LIBERTY LN NW, NORTH CANTON, OH 44720",22816.11,Bonsky Heating & Cooling LLC,
PLMB-25-174,Plumbing Permit,Residential Plumbing Permit,Water Heater,9/15/2025 16:56,Residential,"1112 CLINTON AVE SE, NORTH CANTON, OH 44720",750,,new water heater and new main shutoff valve
RBLD-25-141,Residential Building Permit,Residential Building Permit,Addition,9/17/2025 12:04,Residential,"160 WISE AVE NE, NORTH CANTON, OH 44720",17929.75,Limitless Electric LLC,Roof Mount solar panels installation.SYSTEM SIZE: 2.96 KWp08 X APTOS SOLAR DNA-120-BF26-370W04 X APSYSTEMS DS3-L 
PLMB-25-173,Plumbing Permit,Residential Plumbing Permit,Water Heater,9/15/2025 16:06,Residential,"239 BACHTEL ST SW, NORTH CANTON, OH 44720",2071,Miracle Plumbing & Heating Co. Inc.,Replace 40 gallon short hot water tank
ROOF-25-173,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/15/2025 15:43,Residential,"129 LINDY LANE AVE SW, NORTH CANTON, OH 44720",25000,Hof Roofing ,"Re roof down to deck - install new osb to meet ohio code, install new ice guard to city requirements, new drip edge underlayment, climent flex shingles"
PLMB-25-172,Plumbing Permit,Commercial Plumbing Permit,Water Heater,9/15/2025 14:43,Commercial/Industrial,"177 APPLEGROVE ST NE, Unit A1, NORTH CANTON, OH 44720",1967.45,"JEM Plumbing, INC",Hot water tank replacement
WNDW-25-72,Window Permit,Residential Window Permit,Replacement (Exact),9/15/2025 13:19,Residential,"7786 BRITTANNY DR NE, NORTH CANTON, OH 44720",15000,,replace 8 exisiting windows and one entry and storm door
RBLD-25-137,Residential Building Permit,Residential Building Permit,Alteration/Remodel,9/15/2025 13:53,Residential,"256 HUME ST NE, NORTH CANTON, OH 44720",12000,All American Basement Waterproofing,INSTALL INTERIOR DRAINAGE SYSTEM IN BASEMENT 130'FULL SEALERINSTALL BATTERY BACKUP PUMP IN AN EXISTING SUMP CROCKINSTALL A 70' FRENCH DRAIN
ELCT-25-151,Electrical Permit,Residential Electrical Permit,Alteration/Remodel,9/12/2025 13:40,Residential,"840 CLEARMOUNT AVE SE, NORTH CANTON, OH 44720",1500,ALL OHIO ELECTRIC,rewire mud room
ROOF-25-172,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/12/2025 12:31,Residential,"1627 ELBERTA AVE SW, NORTH CANTON, OH 44709",9000,Anthony Roofing,"Tear off the old shingles, install all new accessories to include a 40 year three dimensional shingle "
HVAC-25-287,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/15/2025 19:25,Residential,"239 ROSE LANE ST SW, NORTH CANTON, OH 44720",19104,SITTLER ENTERPRISES,
ELCT-25-145,Electrical Permit,Residential Electrical Permit,Generator,9/15/2025 18:42,Residential,"818 N VALLEY BLVD NW, NORTH CANTON, OH 44720",11500,"Beck Electric Company,LLC",Installed 18kw Generator and 100amp ATS
RBLD-25-135,Residential Building Permit,Residential Building Permit,Alteration/Remodel,9/15/2025 18:32,Residential,"952 E MAPLE ST, NORTH CANTON, OH 44720",135000,Cornerstone Homes and Design LLC,"Installing exterior walls in an existing covered porch with floor system over existing concrete pad, Opening up a living room wall and installing a new support beam to create an open concept area. Installation of a new egress window in the basement rec room area."
PLMB-25-175,Plumbing Permit,Residential Plumbing Permit,New Construction/Addition,9/16/2025 12:15,Residential,"1238 WILLOW CREEK ST NE, NORTH CANTON, OH 44720",8000,"Bell Plumbing, LLC",Plumbing for master bath and laundry
RBLD-25-134,Residential Building Permit,Residential Building Permit,Other,9/11/2025 18:36,Residential,"1252 WILLOWAY AVE SE, NORTH CANTON, OH 44720",6885,Ecohouse LLC,Residential rooftop solar
HVAC-25-283,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,New Construction/Addition,9/18/2025 16:36,Residential,"341 HEATHERWOOD ST SW, NORTH CANTON, OH 44720",11842,"Pride Heating & Cooling, Inc",
ROOF-25-170,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/10/2025 18:40,Residential,"221 WOODROW ST NW, NORTH CANTON, OH 44720",8000,BMur Restoration ,We will be re roofing this dwelling 
ROOF-25-169,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/10/2025 18:39,Residential,"1213 TERRACE RD NW, NORTH CANTON, OH 44720",8000,BMur Restoration ,Insurance claim on the roof and thy approved a roof replacement 
PLMB-25-171,Plumbing Permit,Commercial Plumbing Permit,Other,9/15/2025 11:48,Commercial/Industrial,"220 APPLEGROVE ST NE, NORTH CANTON, OH 44720",136000,"JEM Plumbing, INC",Replace 3 hot water boilers with 2 storage tanks and install mixing valve
HVAC-25-282,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/10/2025 19:15,Residential,"1617 S MAIN ST, NORTH CANTON, OH 44709",20907.41,Bonsky Heating & Cooling LLC,
ROOF-25-168,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/10/2025 18:24,Residential,"1747 LANCASTER GATE SE, NORTH CANTON, OH 44709",23825,Henderson Roofing & Construction,Shingle Roof Install.
ELCT-25-143,Electrical Permit,Residential Electrical Permit,Pool,9/10/2025 17:49,Residential,"151 WOODSIDE AVE SE, NORTH CANTON, OH 44720",2000,Durant Electric LLC,in ground pool electric and bonding
HVAC-25-281,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace/Air Conditioner,9/9/2025 15:42,Commercial/Industrial,"183 APPLEGROVE ST NE, Unit A5, NORTH CANTON, OH 44720",5911,Wyles Heating & Air Conditioning,
LTRL-25-57,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral Repair/Replace,9/9/2025 17:55,Residential,"1542 ELBERTA AVE SW, CANTON, OH 44709",3500,Paradigm Services LLC,Repair sewgae ejector/lift station discharge line
PLMB-25-170,Plumbing Permit,Residential Plumbing Permit,New Construction/Addition,9/9/2025 19:12,Residential,"1324 SHILOH RUN SE, CANTON, OH 44709",30000,Riceland Flowcare Inc. ,Complete In Home Plumbing System
ROOF-25-167,Roof Permit,Commercial Roof Permit,New/ Re-Roof,9/9/2025 17:56,Commercial/Industrial,"805 ORCHARD AVE NE, NORTH CANTON, OH 44720",31500,Thermal Roofing and Siding LTD CO,Metal roof layover with Perlins 
ROOF-25-171,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/11/2025 16:46,Residential,"493 FAIR OAKS AVE NW, NORTH CANTON, OH 44720",5529,Masterpro Roofing Inc,"tear off shingles, install ice guard and 65 year asphalt shingle"
PLMB-25-169,Plumbing Permit,Residential Plumbing Permit,Water Heater,9/9/2025 1:52,Residential,"420 PIERCE AVE NW, NORTH CANTON, OH 44720",700,,Replaced 40 gallon water heater with new 40 gallon water heater because the old unit was leaking and stopped heating water this Saturday.
ROOF-25-166,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/8/2025 19:25,Residential,"653 PORTAGE ST NW, NORTH CANTON, OH 44720",5532,Legacy Roofing Services,Shingle tear off and reroof on garage. 
HVAC-25-280,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/8/2025 18:37,Residential,"120 7TH ST NE, NORTH CANTON, OH 44720",5008,Heartland Home Services dba Blind and Sons LLC,
ROOF-25-164,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/8/2025 15:42,Residential,"431 WOODSIDE AVE NE, NORTH CANTON, OH 44720",13400,Country Roofing & Exteriors LLC,Re-roof
ROOF-25-163,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/8/2025 15:45,Residential,"1189 SPRUCEWOOD ST SE, NORTH CANTON, OH 44720",10000,ACR contracting inc,Re-roofing house. Full tear off of exisitng layers on house down to the decking. installing 6 foot of iceguard around perimeter of home. rhino sythentic felt for the rest. Install GAF timberline hdz Charcoal shingles. Nail all shingles.
PLMB-25-168,Plumbing Permit,Commercial Plumbing Permit,Water Heater,9/8/2025 12:47,Commercial/Industrial,"175 APPLEGROVE ST NE, Unit C11, NORTH CANTON, OH 44720",1819.13,"JEM Plumbing, INC",Hot water tank replacement
ELCT-25-142,Electrical Permit,Residential Electrical Permit,New Construction/Addition,9/8/2025 18:26,Residential,"1238 WILLOW CREEK ST NE, NORTH CANTON, OH 44720",0,Lightsmith and Co,Electrical for new addition
LTRL-25-58,Water or Sewer Lateral Permit,Commercial Plumbing Permit,Sewer Lateral Repair/Replace,9/9/2025 17:54,Commercial/Industrial,"1469 S MAIN ST, Unit Building 2 - 1477, NORTH CANTON, OH 44720",4951.16,"Integrity Service, LLC",Replace broken sewer lateral with approx. 3' of sch 40 pvc pipe. Exsting pipe is clay tile.
PLMB-25-167,Plumbing Permit,Commercial Plumbing Permit,Water Heater,9/5/2025 19:39,Commercial/Industrial,"1113 N MAIN ST, Unit 122, NORTH CANTON, OH 44720",750,"Forquer Heating and A/C, Inc.",Customer supplied 40 Gallon Hot Water Tank Install 
WNDW-25-70,Window Permit,Residential Window Permit,Other,9/8/2025 17:51,Residential,"910 BRAEMAR CIR NE, NORTH CANTON, OH 44720",8554,,REMOVE & REPLACE 2 WINDOWS; LIKE FOR LIKE SIZE; NO STRUCTURAL CHANGES
RBLD-25-133,Residential Building Permit,Residential Building Permit,Other,9/5/2025 19:38,Residential,"1485 HILLBROOK AVE SE, NORTH CANTON, OH 44709",18000,Miller Carpentry & Construction LLC,Redo existing deck
WNDW-25-69,Window Permit,Commercial Window Permit,Replacement (Exact),9/5/2025 18:44,Commercial/Industrial,"428 SHERATON DR NW, NORTH CANTON, OH 44720",7000,,Remove and replace 14 main entry doors  to modern 6 panel doors
ROOF-25-161,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/5/2025 14:55,Residential,"115 WOODSIDE AVE SE, NORTH CANTON, OH 44720",11450,JT Construction,New/reroof
ROOF-25-160,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/5/2025 15:22,Residential,"311 CASTLETON RD NE, NORTH CANTON, OH 44720",13917,Country Roofing & Exteriors LLC,Re-roof
ROOF-25-165,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/8/2025 15:47,Residential,"1520 RED COACH ST SE, NORTH CANTON, OH 44720",24480,Country Roofing & Exteriors LLC,Re-roof
HVAC-25-279,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Other,9/5/2025 14:16,Residential,"1010 E MAPLE ST, NORTH CANTON, OH 44720",10784,Wyles Heating & Air Conditioning,
ROOF-25-159,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/5/2025 16:36,Residential,"1546 WHITTINGHAM ST SE, NORTH CANTON, OH 44720",18291,"Genesis Windows, Doors and More LLC","Complete tear off down to the deck. Inspect sheeting- Replace if neccessary. Install new synthetic underlayment, Ice guard, Drip edge, Vent boots, shingles, polypropylene ridge vents and all new hip and ridge caps. Clean up and haul away debris."
HVAC-25-278,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace/Air Conditioner,9/5/2025 15:21,Residential,"37 AUBURN AVE SE, NORTH CANTON, OH 44709",7698,Crescenze Cooling & Heating,
ROOF-25-158,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/5/2025 13:42,Residential,"1474 RED COACH ST SE, NORTH CANTON, OH 44720",19100,ProWindow and Home Renovation,"Residential roof , tear off and replace "
LTRL-25-56,Water or Sewer Lateral Permit,Residential Plumbing Permit,New Sewer Lateral,9/8/2025 17:49,Residential,"1323 SHILOH RUN SE, CANTON, OH 44709",6000,Malavite Excavating Inc,connect to sewer lateral for new construction
RBLD-25-130,Residential Building Permit,Residential Building Permit,Alteration/Remodel,9/5/2025 14:26,Residential,"840 CLEARMOUNT AVE SE, NORTH CANTON, OH 44720",9500,"Pastor Zach's Home Improvement, LLC","On first floor: drywall existing foyer, LVP flooring, add 1 new door to the downstairs, replace metal door going into garage.  Mudroom alteration on first floor:  Partition large first floor room by adding 12'9"" new 2x4 wall with 80"" sliding door.  Build 8' 2x4 wall with pocket door.  Drywall both new walls.  Drywall ceiling.  LVP flooring.  No new insulation needed for this project.  "
WNDW-25-68,Window Permit,Residential Window Permit,Replacement (Exact),9/18/2025 11:44,Residential,"337 PORTAGE ST NW, NORTH CANTON, OH 44720",11424,,"Remove and replace 10 windows, no structural change."
PLMB-25-166,Plumbing Permit,Residential Plumbing Permit,New Construction/Addition,9/5/2025 13:26,Residential,"920 ROYAL OAK AVE NE, NORTH CANTON, OH 44720",31000,"D & A Plumbing & Heating, Inc,",PLUMBING FOR NEW CONSTRUCTION
RBLD-25-129,Residential Building Permit,Residential Building Permit,New Construction/Home,9/15/2025 18:10,Residential,"1323 SHILOH RUN SE, CANTON, OH 44709",709230,Rea Custom Homes LLC,A poured wall foundation. Wood framed home with composite siding and stone exterior.  concrete drivewalk and walks
RBLD-25-128,Residential Building Permit,Residential Building Permit,Other,9/5/2025 19:03,Residential,"1228 WESTVIEW CIR SE, NORTH CANTON, OH 44720",10965,Ecohouse LLC,Residential rooftop solar
ROOF-25-157,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/2/2025 14:01,Residential,"126 9TH ST NE, NORTH CANTON, OH 44720",8000,tony newman roofing llc,re roof
WTAP-25-18,New Water Service / Tap-In,Water Connection Permit (Residential),Single-Family Residential,9/18/2025 12:07,,"1324 SHILOH RUN SE, CANTON, OH 44709",,,
LTRL-25-59,Water or Sewer Lateral Permit,Residential Plumbing Permit,New Sewer Lateral,9/15/2025 18:28,Residential,"1324 SHILOH RUN SE, CANTON, OH 44709",1300000,Bontrager Excavating LTD,new residential construction
RBLD-25-132,Residential Building Permit,Residential Building Permit,New Construction/Home,9/23/2025 18:42,Residential,"1324 SHILOH RUN SE, CANTON, OH 44709",1300000,Rembrandt Homes,single family residential
ROOF-25-156,Roof Permit,Residential Roof Permit,New/ Re-Roof,9/2/2025 12:18,Residential,"1685 GLENMAR OVAL SE, NORTH CANTON, OH 44709",15000,,Tear off old shingles and install new 
RBLD-25-127,Residential Building Permit,Residential Building Permit,Alteration/Remodel,9/16/2025 16:10,Residential,"124 WILLAMAN AVE NW, NORTH CANTON, OH 44720",6823,"Pioneer Basement Solutions, LLC",installing 17 LNFT exterior waterproofing and tying into existing footer drains
POOL-25-8,Swimming Pool Permit,Swimming Pool Permit,Above Ground,9/2/2025 16:43,Residential,"236 EASTBURY AVE NE, NORTH CANTON, OH 44720",8000,,21' circumference pool above ground. Approximately 16' away from our home and atleast 40' away from our closest neighbor. 
ELCT-25-140,Electrical Permit,Residential Electrical Permit,"Outlets, Switches, and/or Lights",9/2/2025 18:48,Residential,"1276 LINWOOD AVE SW, NORTH CANTON, OH 44720",1263,"JENNINGS HEATING COMPANY, INC",install dedicated circuit for the sump pump. install gfi outlet install outlet for pump use.
HVAC-25-277,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,New Construction/Addition,8/30/2025 12:44,Residential,"980 DUNWAY AVE NE, NORTH CANTON, OH 44720",19000,Zoned Comfort Heating & Cooling,
PLMB-25-164,Plumbing Permit,Residential Plumbing Permit,Water Heater,9/11/2025 18:56,Residential,"907 OAKWOOD ST SE, NORTH CANTON, OH 44720",1300,"Plumbing 911, Inc.",Installed new water heater
RBLD-25-126,Residential Building Permit,Residential Building Permit,New Accessory Structure,9/16/2025 16:17,Residential,"1026 OAKWOOD ST SE, NORTH CANTON, OH 44720",33580,Top Deck Outdoor Spaces LLC dba Archadeck of Akron,12 x 14 deck- 168 sq feet28 x 10 stamped patio- 280 sq feet
