Record #,Record Type,Title,Type of Improvement,Date Issued,Type of Property,Full Address,Estimated Project Value,Contractor Used,Project Description
ELCT-24-5,Electrical Permit,Residential Electrical Permit,"Outlets, Switches, and/or Lights",1/16/2024 19:43,Residential,"926 WISE AVE SE, NORTH CANTON, OH 44720",200,Abbott Electric Inc,Kitchen/livingroom remodel - replace receptacles and switches
PLMB-24-18,Plumbing Permit,Residential Plumbing Permit,Other,1/17/2024 13:31,Residential,"334 WINESAP AVE SW, NORTH CANTON, OH 44709",400,"R T Hampton Plumbing & Heating, Inc",Replace three gas valves to code. 
HVAC-24-12,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/17/2024 14:37,Residential,"1340 IRONDALE CIR NE, NORTH CANTON, OH 44720",5578,SITTLER ENTERPRISES,REPLACING FURNACE
HVAC-24-2,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/17/2024 18:00,Residential,"287 ORION ST NE, NORTH CANTON, OH 44720",6000,"THE K COMPANY, INC.",furnace replacement
RBLD-24-1,Residential Building Permit,Residential Building Permit,Other,1/17/2024 20:52,Residential,"716 WOODSIDE AVE NE, NORTH CANTON, OH 44720",37200,"Pioneer Basement Solutions, LLC",installing 134 LNFT exterior waterproofing and tying into existing sump system 
WTAP-24-1,New Water Service / Tap-In,Water Connection Permit (Residential),Single-Family Residential,1/18/2024 14:59,,"1409 Salway Ave NW, North Canton, Oh 44720",,,
LTRL-24-2,Water or Sewer Lateral Permit,Residential Plumbing Permit,Water Lateral,1/18/2024 16:55,Residential,"353 EDGEWOOD ST SE, NORTH CANTON, OH 44720",2800,Buckeye Plumbing,"EMERGENCY:  Replace EXISTING BROKEN water service line from curb box to the meter in K Copper.  Replace Meter Horn, Main Valve and Secondary Valve."
ELCT-24-6,Electrical Permit,Residential Electrical Permit,"Outlets, Switches, and/or Lights",1/18/2024 19:31,Residential,"628 WOODROW ST NW, NORTH CANTON, OH 44720",820,Groundworks Ohio,Install 1 GFCI outlet for sump-pump installation. 
ELCT-24-8,Electrical Permit,Residential Electrical Permit,New Service/Change,1/18/2024 19:38,Residential,"1030 OVERLAND AVE NE, NORTH CANTON, OH 44720",720,"Tasos Electric Co., Inc.",Replace 100A breaker box
HVAC-24-6,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/19/2024 13:12,Residential,"1301 WESTVIEW CIR SE, NORTH CANTON, OH 44720",13768,SITTLER ENTERPRISES,REPLACING FURNACE AND A/C
HVAC-24-14,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/19/2024 13:34,Residential,"424 ROSE LANE ST SE, NORTH CANTON, OH 44720",4039,SITTLER ENTERPRISES,REPLACING FURNACE
HVAC-24-16,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace,1/22/2024 16:25,Commercial/Industrial,"315 PERSHING AVE NE, Unit 341, NORTH CANTON, OH 44720",3521,Forquer Heating & A/C,"Install 70K x 80% Breeze furnace from garage, t4 tstat, 16x25x1 external filter rack and Co detector"
HVAC-24-17,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/22/2024 19:17,Residential,"1576 MABRY MILL DR SW, NORTH CANTON, OH 44709",11900,Elsass Heating and Cooling Inc,Install replacement Furnace and A/C unit
CBLD-24-3,Commercial Building Permit,Commercial Building Permit,Other,1/22/2024 21:27,Commercial/Industrial,"405 SHERATON DR NW, Unit 415, NORTH CANTON, OH 44720",5235,,installing 59 LNFT interior waterproofing with new sump pump system 
ELCT-24-9,Electrical Permit,Residential Electrical Permit,Other,1/23/2024 13:07,Residential,"155 WOODSIDE AVE SE, NORTH CANTON, OH 44720",31387.5,"Ambia Energy, LLC",Residential Roof Mounted PV 10.22 kW Solar Panel Installation
ELCT-24-7,Electrical Permit,Residential Electrical Permit,Other,1/23/2024 13:08,Residential,"138 WOODSIDE AVE SE, NORTH CANTON, OH 44720",34020,"Ambia Energy, LLC","Residential photovoltaic, roof mounted solar installation 9.855 kW system size. "
HVAC-24-18,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/23/2024 13:12,Residential,"25 LASALLE CT SE, NORTH CANTON, OH 44709",6700,Shanklin Heating and Air Conditioning LLC,REPLACE FURNACE
RBLD-24-7,Residential Building Permit,Residential Building Permit,Other,1/23/2024 13:56,Residential,"138 WOODSIDE AVE SE, NORTH CANTON, OH 44720",34020,"Ambia Energy, LLC","Residential photovoltaic, roof mounted solar installation 9.855 kW system size. "
PLMB-24-21,Plumbing Permit,Commercial Plumbing Permit,Other,1/23/2024 15:24,Commercial/Industrial,"1340 N MAIN ST, NORTH CANTON, OH 44720",2000,"AC Plumbing, Heating, & Mechanical ",Replacing water lines in the back of house 
PLMB-24-22,Plumbing Permit,Commercial Plumbing Permit,Water Heater,1/23/2024 16:19,Commercial/Industrial,"1340 N MAIN ST, NORTH CANTON, OH 44720",2200,"AC Plumbing, Heating, & Mechanical ",water heater replacement
HVAC-24-19,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,New Construction/Addition,1/23/2024 17:48,Residential,"1290 LONGSHADOW AVE NE, NORTH CANTON, OH 44720",12000,MR. COMFORT HEATING AND COOLING,HVAC
RBLD-24-10,Residential Building Permit,Residential Building Permit,Other,1/23/2024 20:16,Residential,"1711 GLENMAR OVAL SE, NORTH CANTON, OH 44709",29530,Henderson Roofing & Construction,Roof Installation
RBLD-24-6,Residential Building Permit,Residential Building Permit,Other,1/23/2024 20:47,Residential,"926 WISE AVE SE, NORTH CANTON, OH 44720",2500,LupeKoelble Ent LLC ,doorway altering 
LTRL-24-3,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral,1/24/2024 13:02,Residential,"129 PARKVIEW AVE NW, NORTH CANTON, OH 44720",3000,"FlowPros Sewer, Drain, & Repair Service LLC",Sanitary sewer repair
RBLD-24-3,Residential Building Permit,Residential Building Permit,Addition,1/24/2024 13:30,Residential,"624 7TH ST NW, NORTH CANTON, OH 44720",12600,"Ambia Energy, LLC",The photovoltaic system of 12 solar panels shall be interconnected by performing a rated back tap feed into the existing 150A main service panel.Performing side tap using polaris AWG insulted tap connectors on the line side of the service wires.
RBLD-24-9,Residential Building Permit,Residential Building Permit,Repair,1/24/2024 14:33,Residential,"628 WOODROW ST NW, NORTH CANTON, OH 44720",7200,Groundworks Ohio,Install sump-pump with 55 LNFT of basement gutter.
HVAC-24-20,HVAC/Mechanical Permit,Commercial HVAC/Mechanical Permit,Furnace,1/24/2024 16:19,Commercial/Industrial,"405 SHERATON DR NW, Unit 427, NORTH CANTON, OH 44720",3521,Forquer Heating & A/C,"Install 70k x 80% furnace with T4 tstat, gas valve, CO detector, and return air drop"
LTRL-24-4,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral,1/24/2024 18:26,Residential,"203 SHAKER AVE NW, NORTH CANTON, OH 44720",6000,Canton Stark County Sewer Cleaning,Mechanical excavation in front yard of the home approximately 10’ to remove and expose impassable section of sanitary main lateral sewer 
PLMB-24-23,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/24/2024 19:37,Residential,"187 APPLEGROVE ST NE, Unit B9, NORTH CANTON, OH 44720",1400,"JEM Plumbing, INC",Hot water tank install
RBLD-24-13,Residential Building Permit,Residential Building Permit,Alter/Remodel,1/25/2024 13:43,Residential,"341 EDGEWOOD ST SE, NORTH CANTON, OH 44720",20000,Ohio State Home Services,Internal and external drains to pervent seepage into the cellar
RBLD-24-11,Residential Building Permit,Residential Building Permit,Alter/Remodel,1/25/2024 13:51,Residential,"926 WISE AVE SE, NORTH CANTON, OH 44720",200,,"relocate drain for kitchen sink (3') and waterlines for Kitchen sink, dishwasher. and ice maker for refrigerator, add pot filler"
PLMB-24-24,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/25/2024 15:09,Residential,"187 APPLEGROVE ST NE, Unit B10, NORTH CANTON, OH 44720",1500,"JEM Plumbing, INC",Hot water tank install
ROOF-24-4,Roof Permit,Residential Roof Permit,New/ Re-Roof,1/25/2024 15:36,Residential,"107 HILLCREST AVE NW, NORTH CANTON, OH 44720",3100,Country Roofing LLC,Re-roof
PLMB-24-25,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/25/2024 16:13,Residential,"185 APPLEGROVE ST NE, Unit B2, NORTH CANTON, OH 44720",1590,"JEM Plumbing, INC",installing hot water tank
RBLD-23-4,Residential Building Permit,Residential Building Permit,Repair,1/25/2024 20:21,Residential,"414 10TH ST NE, NORTH CANTON, OH 44720",2000,coles home imp,"Demo of ceiling, floors, and drywall. Due to water damage from leak"
RBLD-24-14,Residential Building Permit,Residential Building Permit,New Accessory Structure,1/25/2024 20:22,Residential,"1610 ARNESBY CIR NW, NORTH CANTON, OH 44720",5000,,Adding roof to patio
RBLD-24-15,Residential Building Permit,Residential Building Permit,Repair,1/25/2024 20:45,Residential,"623 SUMMIT ST SE, NORTH CANTON, OH 44720",75000,Allen Keith Construction & Restoration,Replacing broken rafters and reroof from tree damage. Interior repairs and siding. No structual damage. Will have electrical repair and contractor to pull permit.
LTRL-24-5,Water or Sewer Lateral Permit,Residential Plumbing Permit,Water Lateral,1/25/2024 21:18,Residential,"1115 CLEARMOUNT AVE SE, NORTH CANTON, OH 44720",2500,Wiese Plumbing,waterline repair 
LTRL-24-6,Water or Sewer Lateral Permit,Commercial Plumbing Permit,Water Lateral,1/25/2024 22:02,Commercial/Industrial,"5180 Aultman Ave, North Canton, Ohio 44720",79050,D & A Plumbing and Heating ,"Installation of water main and fire main.   ****We are doing a live tap, disregard the requested shut-off date."
DEMO-24-1,Demolition Permit,Demolition Permit,Major (any stucture larger than 200 sq. ft.),1/26/2024 15:29,Residential,"415 PORTAGE ST NW, NORTH CANTON, OH 44720",18750,"Butcher & Son, Inc",
DEMO-24-2,Demolition Permit,Demolition Permit,Major (any stucture larger than 200 sq. ft.),1/26/2024 15:43,Commercial/Industrial,"807 N MAIN ST, NORTH CANTON, OH 44720",10460,"Butcher & Son, Inc",
HVAC-24-15,HVAC/Mechanical Permit,Residential HVAC/Mechanical Permit,Furnace,1/26/2024 17:28,Residential,"7846 BRITTANNY DR NE, NORTH CANTON, OH 44720",4900,"Crown Heating & Cooling, Inc",FURNACE REPLACEMENT
PLMB-24-26,Plumbing Permit,Commercial Plumbing Permit,Water Heater,1/26/2024 18:08,Commercial/Industrial,"405 SHERATON DR NW, Unit 423, NORTH CANTON, OH 44720",0,Canton Stark County Sewer Cleaning,Water heater was installed by their maintenance crew. Roto Rooter is going to make a slight repair before inspection. But we are pulling the permit for them so they can be up to code. 
LTRL-24-7,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral,1/26/2024 19:15,Residential,"1602 S MAIN ST, NORTH CANTON, OH 44709",3500,Wiese Plumbing,sewer repair
ELCT-24-4,Electrical Permit,Residential Electrical Permit,Alteration/Remodel,1/26/2024 21:13,Residential,"360 EASTBURY AVE NE, NORTH CANTON, OH 44720",51040,"Ambia Energy, LLC","Residential Roof Mounted PV, 21.06 kW Solar Panel Installation"
ELCT-24-10,Electrical Permit,Residential Electrical Permit,Meter Change,1/29/2024 14:26,Residential,"205 BACHTEL ST SW, NORTH CANTON, OH 44720",850,Two Nicks Electric LLC,Replace meter base because AEP pulled meter
LTRL-24-8,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral,1/29/2024 14:39,Residential,"211 HILLCREST AVE NW, NORTH CANTON, OH 44720",8900,Canton Stark County Sewer Cleaning,Mechanical excavation in front yard of the home to expose and remove approximately 7 LF section (8' depth) of sanitary main lateral sewer. 
ROOF-24-5,Roof Permit,Residential Roof Permit,New/ Re-Roof,1/29/2024 14:54,Residential,"552 GLENWOOD ST SW, NORTH CANTON, OH 44720",12000,Blue Roofing and Gutters,Full tear off and replacement 
ROOF-24-6,Roof Permit,Residential Roof Permit,New/ Re-Roof,1/29/2024 15:01,Residential,"411 CHAPPLE HILL DR NE, NORTH CANTON, OH 44720",13999,Henderson Roofing & Construction,CertainTeed Roof Installation
ROOF-24-7,Roof Permit,Residential Roof Permit,New/ Re-Roof,1/30/2024 14:51,Residential,"832 WOODSIDE AVE SE, NORTH CANTON, OH 44720",2400,BMur Restoration ,Re Roof the flat deck on the back of the house
CBLD-24-1,Commercial Building Permit,Commercial Building Permit,Repair,1/30/2024 14:51,Commercial/Industrial,"6460 WISE AVE NW, NORTH CANTON, OH 44720",4356,Protech Security Inc,Take over existing fire and security
PLMB-24-27,Plumbing Permit,Residential Plumbing Permit,Water Heater,1/30/2024 17:25,Residential,"301 DONNER AVE SW, NORTH CANTON, OH 44720",1500,Hartville Plumbing,Emergency chage of water heater
PLMB-24-28,Plumbing Permit,Residential Plumbing Permit,Other,1/30/2024 19:27,Residential,"635 FAIR OAKS AVE NW, NORTH CANTON, OH 44720",200,"R T Hampton Plumbing & Heating, Inc",Replace gas valve to code. 
LTRL-24-10,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral,1/30/2024 19:51,Residential,"124 WEBER AVE NE, NORTH CANTON, OH 44720",5000,Donald P. Albrecht,repair or replace pipe in yard
PLMB-24-29,Plumbing Permit,Commercial Plumbing Permit,Water Heater,1/30/2024 19:58,Commercial/Industrial,"315 PERSHING AVE NE, Unit 373, NORTH CANTON, OH 44720",4500,Canton Stark County Sewer Cleaning,Price given is to remove and replace the two water heaters suppling unit 373 and 371. 
ELCT-24-11,Electrical Permit,Commercial Electrical Permit,Signage,1/31/2024 14:15,Commercial/Industrial,"207 SCHNEIDER ST SE, NORTH CANTON, OH 44720",1000,B-Lee Electric Co,Wire sign
LTRL-24-9,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral,1/31/2024 16:33,Residential,"638 PORTAGE ST NW, NORTH CANTON, OH 44720",21000,Canton Stark County Sewer Cleaning,Mechanical excavation outside and inside of home to replace approx 40' of sanitary lateral sewer
RBLD-24-16,Residential Building Permit,Residential Building Permit,Repair,1/31/2024 18:05,Residential,"628 WOODROW ST NW, NORTH CANTON, OH 44720",2680,Groundworks Ohio,Install 2 intellijacks and 6 LNFT of supplemental beam per engineering.
ELCT-24-3,Electrical Permit,Residential Electrical Permit,Alteration/Remodel,2/1/2024 13:19,Residential,"624 7TH ST NW, NORTH CANTON, OH 44720",12600,Ambia Energy,"Residential Roof Mounted PV, 4.86 kW solar panel install."
ROOF-24-8,Roof Permit,Residential Roof Permit,New/ Re-Roof,2/1/2024 15:08,Residential,"1250 WESTVIEW CIR SE, NORTH CANTON, OH 44720",20000,West Maple Design and Construction LLC,"remove old layer of shingles, repair sheeting as needed and install new roof"
WNDW-24-2,Window Permit,Residential Window Permit,Partial Replacement,2/2/2024 19:23,Residential,"1302 COLLEGE ST SE, NORTH CANTON, OH 44720",13038,,Remove and replace 7 double hung windows and one picture window. Replacement windows will use the existing openings/framing and will not require any structural changes to the home. Vinyl replacements will be the same size and style as existing windows and will be white inside and out. 
WNDW-24-1,Window Permit,Residential Window Permit,Partial Replacement,2/2/2024 19:25,Residential,"119 EASTBURY AVE NE, NORTH CANTON, OH 44720",5251,,Remove and replace 4 double hung windows and 2 two lite slider windows. Replacements will use the existing openings/framing and will not require any structural changes to the home. Vinyl replacements will be the same size and style as existing windows with grid patterns to match existing windows. 
RBLD-24-18,Residential Building Permit,Residential Building Permit,Alter/Remodel,2/5/2024 13:26,Residential,"315 ORION ST NE, NORTH CANTON, OH 44720",50017,Hughes Kitchens & Baths LLC,Bathroom Remodel
PLMB-24-30,Plumbing Permit,Residential Plumbing Permit,Alteration/Remodel,2/5/2024 18:10,Residential,"315 ORION ST NE, NORTH CANTON, OH 44720",500,"FlowPros Sewer, Drain, & Repair Service LLC",plumbing rough and final has been completed by others NOT by FlowPros...fines were attributed to contractor...FlowPros has only brought existing up to code and are pulling final permit
PLMB-24-32,Plumbing Permit,Residential Plumbing Permit,Natural Gas Line,2/6/2024 13:19,Residential,"410 PORTAGE ST NW, NORTH CANTON, OH 44720",750,"Coblentz Plumbing Solutions, LLC",replacing in-line gas valves in home.
CBLD-24-8,Commercial Building Permit,Commercial Building Permit,Other,2/6/2024 14:45,Commercial/Industrial,"1177 S MAIN ST, NORTH CANTON, OH 44720",3200,,installing 24 LNFT interior waterproofing and tying into existing sump pump system 
PLMB-24-31,Plumbing Permit,Residential Plumbing Permit,Other,2/6/2024 15:10,Residential,"235 EVERHARD RD SW, NORTH CANTON, OH 44709",0,Hartville Plumbing,replace/remove gas valves and check out line for hot water tank
ELCT-24-13,Electrical Permit,Residential Electrical Permit,Alteration/Remodel,2/7/2024 12:15,Residential,"315 ORION ST NE, NORTH CANTON, OH 44720",500,Pauli Electric,Masterbathroom remodel
LTRL-24-11,Water or Sewer Lateral Permit,Residential Plumbing Permit,Sewer Lateral,2/7/2024 15:13,Residential,"908 WOODROW ST NW, NORTH CANTON, OH 44720",7000,Canton Stark County Sewer Cleaning,Mechanical excavation in front yard of the home approximately 10’ to remove and expose impassable section of sanitary main lateral sewer 
PLMB-24-35,Plumbing Permit,Residential Plumbing Permit,Water Heater,2/7/2024 16:19,Residential,"505 BRIAR AVE NE, NORTH CANTON, OH 44720",1000,Bailey's Quality Plumbing and Backflow LLC,water heater
PLMB-24-42,Plumbing Permit,Residential Plumbing Permit,Fixture Replacement,2/7/2024 17:33,Residential,"175 APPLEGROVE ST NE, Unit A8, NORTH CANTON, OH 44720",528.92,"JEM Plumbing, INC",Washer Box Replacement
PLMB-24-41,Plumbing Permit,Residential Plumbing Permit,Fixture Replacement,2/7/2024 17:34,Residential,"175 APPLEGROVE ST NE, Unit A12, NORTH CANTON, OH 44720",528.92,"JEM Plumbing, INC",Washer Box Replacement
PLMB-24-40,Plumbing Permit,Residential Plumbing Permit,Fixture Replacement,2/7/2024 17:35,Residential,"175 APPLEGROVE ST NE, Unit C2, NORTH CANTON, OH 44720",528.92,"JEM Plumbing, INC",Washer Box Replacement
PLMB-24-39,Plumbing Permit,Residential Plumbing Permit,Water Heater,2/7/2024 17:36,Residential,"173 APPLEGROVE ST NE, Unit B12, NORTH CANTON, OH 44720",1470.75,"JEM Plumbing, INC",Hot Water Tank Replacement
PLMB-24-38,Plumbing Permit,Residential Plumbing Permit,Water Heater,2/7/2024 17:37,Residential,"175 APPLEGROVE ST NE, Unit A1, NORTH CANTON, OH 44720",1552.98,"JEM Plumbing, INC",Hot Water Tank Replacement
PLMB-24-37,Plumbing Permit,Residential Plumbing Permit,Water Heater,2/7/2024 17:38,Residential,"177 APPLEGROVE ST NE, Unit A7, NORTH CANTON, OH 44720",1914.04,"JEM Plumbing, INC",Hot Water Tank Replacement
PLMB-24-36,Plumbing Permit,Residential Plumbing Permit,Water Heater,2/7/2024 17:39,Residential,"287 WILBUR DR NE, Unit 08, NORTH CANTON, OH 44720",1707.48,"JEM Plumbing, INC",Hot Water Tank Replacement
PLMB-24-34,Plumbing Permit,Residential Plumbing Permit,Water Heater,2/7/2024 17:40,Residential,"220 WILBUR DR NE, Unit 10, NORTH CANTON, OH 44720",1915.32,"JEM Plumbing, INC",Hot Water Tank Replacement
PLMB-24-33,Plumbing Permit,Residential Plumbing Permit,Water Heater,2/8/2024 14:43,Residential,"201 ROSE LANE ST SE, NORTH CANTON, OH 44720",150,"R T Hampton Plumbing & Heating, Inc",Water Heater Replace/Inspect 
PLMB-24-43,Plumbing Permit,Residential Plumbing Permit,Water Heater,2/8/2024 15:18,Residential,"1783 BEECHWOOD AVE NE, Unit 04, NORTH CANTON, OH 44720",1552.98,"JEM Plumbing, INC",Hot Water Tank Replacement
